Area,Category,Fuel_Type,Year,Energy_Gen
QLD,non-renewable,Natural gas,2013-14,15454
QLD,non-renewable,Oil products,2013-14,960
QLD,renewable,Bagasse_wood,2013-14,1403
QLD,renewable,Biogas,2013-14,83
QLD,renewable,Wind,2013-14,34
QLD,renewable,Hydro,2013-14,821
QLD,renewable,Large-scale solar PV,2013-14,4
QLD,renewable,Small-scale solar PV,2013-14,1461
QLD,renewable,Geothermal,2013-14,1
WA,non-renewable,Black coal,2013-14,10885
WA,non-renewable,Natural gas,2013-14,20880
WA,non-renewable,Oil products,2013-14,2486
WA,renewable,Biogas,2013-14,124
WA,renewable,Wind,2013-14,1579
WA,renewable,Hydro,2013-14,205
WA,renewable,Large-scale solar PV,2013-14,24
WA,renewable,Small-scale solar PV,2013-14,496
SA,non-renewable,Brown coal,2013-14,2099
SA,non-renewable,Natural gas,2013-14,5998
SA,non-renewable,Oil products,2013-14,107
SA,renewable,Biogas,2013-14,81
SA,renewable,Wind,2013-14,4150
SA,renewable,Hydro,2013-14,6
SA,renewable,Large-scale solar PV,2013-14,1
SA,renewable,Small-scale solar PV,2013-14,678
TAS,non-renewable,Natural gas,2013-14,985
TAS,non-renewable,Oil products,2013-14,20
TAS,renewable,Biogas,2013-14,31
TAS,renewable,Wind,2013-14,818
TAS,renewable,Hydro,2013-14,12073
TAS,renewable,Large-scale solar PV,2013-14,0
TAS,renewable,Small-scale solar PV,2013-14,74
NT,non-renewable,Natural gas,2013-14,2309
NT,non-renewable,Oil products,2013-14,1124
NT,renewable,Biogas,2013-14,9
NT,renewable,Large-scale solar PV,2013-14,5
NT,renewable,Small-scale solar PV,2013-14,19
All,non-renewable,Black coal,2014-15,107639
All,non-renewable,Brown coal,2014-15,50970
All,non-renewable,Natural gas,2014-15,52917
All,non-renewable,Oil products,2014-15,6829
All,renewable,Bagasse_wood,2014-15,2353
All,renewable,Biogas,2014-15,1239
All,renewable,Wind,2014-15,11467
All,renewable,Hydro,2014-15,13445
All,renewable,Large-scale solar PV,2014-15,107
All,renewable,Small-scale solar PV,2014-15,5424
All,renewable,Geothermal,2014-15,1
NSW,non-renewable,Black coal,2014-15,52562
NSW,non-renewable,Natural gas,2014-15,4528
NSW,non-renewable,Oil products,2014-15,284
NSW,renewable,Bagasse_wood,2014-15,551
NSW,renewable,Biogas,2014-15,472
